fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
9.9;0.59;0.07;3.4;0.102;32.0;71.0;1.00015;3.81;0.71;12.740000000000002;5
12.0;0.45;0.55;2.0;0.073;25.0;49.0;0.9997;3.6;0.76;13.39;6
7.5;0.4;0.12;3.0;0.092;29.0;53.0;0.9967;3.87;0.7;13.39;6
8.7;0.52;0.09;2.5;0.091;20.0;49.0;0.9976;3.84;0.86;13.78;7
11.6;0.42;0.53;3.3;0.105;33.0;98.0;1.001;3.7;0.95;11.959999999999999;5
8.7;0.52;0.09;2.5;0.091;20.0;49.0;0.9976;3.84;0.86;13.78;7
11.0;0.2;0.48;2.0;0.343;6.0;18.0;0.9979;3.8;0.71;13.65;5
10.4;0.55;0.23;2.7;0.091;18.0;48.0;0.9994;3.72;0.64;13.39;6
6.9;0.36;0.25;2.4;0.098;5.0;16.0;0.9964;3.91;0.6;13.13;6
13.3;0.34;0.52;3.2;0.094;17.0;53.0;1.0014;3.55;0.81;12.35;6
10.8;0.5;0.46;2.5;0.073;5.0;27.0;1.0001;3.55;0.64;12.35;5
10.6;0.83;0.37;2.6;0.086;26.0;70.0;0.9981;3.66;0.52;12.870000000000001;5
7.1;0.63;0.06;2.0;0.083;8.0;29.0;0.99855;4.17;0.73;12.48;5
7.2;0.65;0.02;2.3;0.094;5.0;31.0;0.9993;4.17;0.8;12.61;5
6.9;0.67;0.06;2.1;0.08;8.0;33.0;0.99845;4.18;0.71;12.48;5
7.5;0.53;0.06;2.6;0.086;20.0;44.0;0.9965;3.88;0.59;13.91;6
11.1;0.18;0.48;1.5;0.068;7.0;15.0;0.9973;3.72;0.64;13.13;6
8.3;0.705;0.12;2.6;0.092;12.0;28.0;0.9994;4.01;0.72;13.0;5
7.4;0.67;0.12;1.6;0.186;5.0;21.0;0.996;3.89;0.54;12.35;5
8.4;0.65;0.6;2.1;0.112;12.0;90.0;0.9973;3.7;0.52;11.959999999999999;5
10.3;0.53;0.48;2.5;0.063;6.0;25.0;0.9998;3.62;0.59;12.090000000000002;6
7.6;0.62;0.32;2.2;0.082;7.0;54.0;0.9966;3.86;0.52;12.22;5
10.3;0.41;0.42;2.4;0.213;6.0;14.0;0.9994;3.69;0.62;12.35;6
10.3;0.43;0.44;2.4;0.214;5.0;12.0;0.9994;3.69;0.63;12.35;6
7.4;0.29;0.38;1.7;0.062;9.0;30.0;0.9968;3.91;0.53;12.35;6
10.3;0.53;0.48;2.5;0.063;6.0;25.0;0.9998;3.62;0.59;12.090000000000002;6
7.9;0.53;0.24;2.0;0.072;15.0;105.0;0.996;3.77;0.54;12.22;6
9.0;0.46;0.31;2.8;0.093;19.0;98.0;0.99815;3.82;0.63;12.35;6
8.6;0.47;0.3;3.0;0.076;30.0;135.0;0.9976;3.8;0.53;12.22;5
7.4;0.36;0.29;2.6;0.087;26.0;72.0;0.99645;3.89;0.68;14.3;5
7.1;0.35;0.29;2.5;0.096;20.0;53.0;0.9962;3.92;0.65;14.3;6
9.6;0.56;0.23;3.4;0.102;37.0;92.0;0.9996;3.8;0.65;13.13;5
9.6;0.77;0.12;2.9;0.082;30.0;74.0;0.99865;3.8;0.64;13.520000000000001;6
9.8;0.66;0.39;3.2;0.083;21.0;59.0;0.9989;3.87;0.71;14.950000000000001;7
9.6;0.77;0.12;2.9;0.082;30.0;74.0;0.99865;3.8;0.64;13.520000000000001;6
9.8;0.66;0.39;3.2;0.083;21.0;59.0;0.9989;3.87;0.71;14.950000000000001;7
9.3;0.61;0.26;3.4;0.09;25.0;87.0;0.99975;3.74;0.62;12.61;5
7.8;0.62;0.05;2.3;0.079;6.0;18.0;0.99735;3.79;0.63;12.090000000000002;5
10.3;0.59;0.42;2.8;0.09;35.0;73.0;0.999;3.78;0.7;12.35;6
10.0;0.49;0.2;11.0;0.071;13.0;50.0;1.0015;3.66;0.69;11.959999999999999;6
10.0;0.49;0.2;11.0;0.071;13.0;50.0;1.0015;3.66;0.69;11.959999999999999;6
11.6;0.53;0.66;3.65;0.121;6.0;14.0;0.9978;3.55;0.74;14.950000000000001;7
10.3;0.44;0.5;4.5;0.107;5.0;13.0;0.998;3.78;0.83;14.950000000000001;5
13.4;0.27;0.62;2.6;0.082;6.0;21.0;1.0002;3.66;0.67;12.61;6
10.7;0.46;0.39;2.0;0.061;7.0;15.0;0.9981;3.68;0.62;12.35;5
10.2;0.36;0.64;2.9;0.122;10.0;41.0;0.998;3.73;0.66;16.25;6
10.2;0.36;0.64;2.9;0.122;10.0;41.0;0.998;3.73;0.66;16.25;6
8.0;0.58;0.28;3.2;0.066;21.0;114.0;0.9973;3.72;0.54;12.22;6
8.4;0.56;0.08;2.1;0.105;16.0;44.0;0.9958;3.63;0.52;14.3;5
7.9;0.65;0.01;2.5;0.078;17.0;38.0;0.9963;3.84;0.74;15.209999999999999;7
11.9;0.695;0.53;3.4;0.128;7.0;21.0;0.9992;3.67;0.84;15.86;7
8.9;0.43;0.45;1.9;0.052;6.0;16.0;0.9948;3.85;0.7;16.25;6
7.8;0.43;0.32;2.8;0.08;29.0;58.0;0.9974;3.81;0.64;13.39;5
12.4;0.49;0.58;3.0;0.103;28.0;99.0;1.0008;3.66;1.0;14.950000000000001;6
12.5;0.28;0.54;2.3;0.082;12.0;29.0;0.9997;3.61;1.36;12.740000000000002;7
12.2;0.34;0.5;2.4;0.066;10.0;21.0;1.0;3.62;1.18;11.959999999999999;6
10.6;0.42;0.48;2.7;0.065;5.0;18.0;0.9972;3.71;0.87;14.690000000000001;6
10.9;0.39;0.47;1.8;0.118;6.0;14.0;0.9982;3.8;0.75;12.740000000000002;6
10.9;0.39;0.47;1.8;0.118;6.0;14.0;0.9982;3.8;0.75;12.740000000000002;6
11.9;0.57;0.5;2.6;0.082;6.0;32.0;1.0006;3.62;0.78;13.91;6
7.0;0.685;0.0;1.9;0.067;40.0;63.0;0.9979;4.1;0.81;12.870000000000001;5
6.6;0.815;0.02;2.7;0.072;17.0;34.0;0.9955;4.08;0.89;15.990000000000002;7
13.8;0.49;0.67;3.0;0.093;6.0;15.0;0.9986;3.52;0.93;15.600000000000001;6
9.6;0.56;0.31;2.8;0.089;15.0;46.0;0.9979;3.61;0.92;13.0;6
9.1;0.785;0.0;2.6;0.093;11.0;28.0;0.9994;3.86;0.86;12.22;6
10.7;0.67;0.22;2.7;0.107;17.0;34.0;1.0004;3.78;0.98;12.870000000000001;6
9.1;0.795;0.0;2.6;0.096;11.0;26.0;0.9994;3.85;0.83;12.22;6
7.7;0.665;0.0;2.4;0.09;8.0;19.0;0.9974;3.77;0.73;12.090000000000002;5
13.5;0.53;0.79;4.8;0.12;23.0;77.0;1.0018;3.68;0.77;16.900000000000002;5
6.1;0.21;0.4;1.4;0.066;40.5;165.0;0.9912;3.75;0.59;15.47;6
6.7;0.75;0.01;2.4;0.078;17.0;32.0;0.9955;4.05;0.61;16.64;6
11.5;0.41;0.52;3.0;0.08;29.0;55.0;1.0001;3.76;0.88;14.3;5
10.5;0.42;0.66;2.95;0.116;12.0;29.0;0.997;3.74;0.75;15.209999999999999;7
11.9;0.43;0.66;3.1;0.109;10.0;23.0;1.0;3.65;0.85;13.520000000000001;7
12.6;0.38;0.66;2.6;0.088;10.0;41.0;1.001;3.67;0.68;12.740000000000002;6
8.2;0.7;0.23;2.0;0.099;14.0;81.0;0.9973;3.69;0.7;12.22;5
8.6;0.45;0.31;2.6;0.086;21.0;50.0;0.9982;3.87;0.91;12.870000000000001;6
11.9;0.58;0.66;2.5;0.072;6.0;37.0;0.9992;3.55;0.56;13.0;5
12.5;0.46;0.63;2.0;0.071;6.0;15.0;0.9988;3.49;0.87;13.26;5
12.8;0.615;0.66;5.8;0.083;7.0;42.0;1.0022;3.57;0.73;13.0;7
10.0;0.42;0.5;3.4;0.107;7.0;21.0;0.9979;3.76;0.93;15.340000000000002;6
12.8;0.615;0.66;5.8;0.083;7.0;42.0;1.0022;3.57;0.73;13.0;7
10.4;0.575;0.61;2.6;0.076;11.0;24.0;1.0;3.66;0.69;11.700000000000001;5
10.3;0.34;0.52;2.8;0.159;15.0;75.0;0.9998;3.68;0.64;12.22;5
9.4;0.27;0.53;2.4;0.074;6.0;18.0;0.9962;3.7;1.13;15.600000000000001;7
6.9;0.765;0.02;2.3;0.063;35.0;63.0;0.9975;4.07;0.78;12.870000000000001;5
7.9;0.24;0.4;1.6;0.056;11.0;25.0;0.9967;3.82;0.87;11.309999999999999;6
9.1;0.28;0.48;1.8;0.067;26.0;46.0;0.9967;3.82;1.04;13.78;6
7.4;0.55;0.22;2.2;0.106;12.0;72.0;0.9959;3.55;0.63;11.959999999999999;5
14.0;0.41;0.63;3.8;0.089;6.0;47.0;1.0014;3.51;0.81;14.040000000000001;6
11.5;0.54;0.71;4.4;0.124;6.0;15.0;0.9984;3.51;0.83;15.340000000000002;7
11.5;0.45;0.5;3.0;0.078;19.0;47.0;1.0003;3.76;1.11;14.3;6
9.4;0.27;0.53;2.4;0.074;6.0;18.0;0.9962;3.7;1.13;15.600000000000001;7
11.4;0.625;0.66;6.2;0.088;6.0;24.0;0.9988;3.61;0.99;17.290000000000003;6
8.3;0.42;0.38;2.5;0.094;24.0;60.0;0.9979;3.81;0.7;14.040000000000001;6
8.3;0.26;0.42;2.0;0.08;11.0;27.0;0.9974;3.71;0.8;12.22;6
13.7;0.415;0.68;2.9;0.085;17.0;43.0;1.0014;3.56;0.8;13.0;6
8.3;0.26;0.42;2.0;0.08;11.0;27.0;0.9974;3.71;0.8;12.22;6
8.3;0.26;0.42;2.0;0.08;11.0;27.0;0.9974;3.71;0.8;12.22;6
7.7;0.51;0.28;2.1;0.087;23.0;54.0;0.998;3.92;0.74;11.959999999999999;5
7.4;0.63;0.07;2.4;0.09;11.0;37.0;0.9979;3.93;0.76;12.61;6
7.8;0.54;0.26;2.0;0.088;23.0;48.0;0.9981;3.91;0.74;11.959999999999999;6
8.3;0.66;0.15;1.9;0.079;17.0;42.0;0.9972;3.81;0.54;12.48;6
7.8;0.46;0.26;1.9;0.088;23.0;53.0;0.9981;3.93;0.74;11.959999999999999;6
9.6;0.38;0.31;2.5;0.096;16.0;49.0;0.9982;3.69;0.7;13.0;7
5.6;0.85;0.05;1.4;0.045;12.0;88.0;0.9924;4.0600000000000005;0.82;16.77;8
13.7;0.415;0.68;2.9;0.085;17.0;43.0;1.0014;3.56;0.8;13.0;6
9.5;0.37;0.52;2.0;0.082;6.0;26.0;0.998;3.68;0.51;12.35;5
8.4;0.665;0.61;2.0;0.112;13.0;95.0;0.997;3.66;0.54;11.83;5
12.7;0.6;0.65;2.3;0.063;6.0;25.0;0.9997;3.53;0.57;12.870000000000001;5
12.0;0.37;0.76;4.2;0.066;7.0;38.0;1.0004;3.72;0.6;16.900000000000002;7
6.6;0.735;0.02;7.9;0.122;68.0;124.0;0.9994;3.97;0.53;12.870000000000001;5
11.5;0.59;0.59;2.6;0.087;13.0;49.0;0.9988;3.68;0.65;14.3;6
11.5;0.59;0.59;2.6;0.087;13.0;49.0;0.9988;3.68;0.65;14.3;6
8.7;0.765;0.22;2.3;0.064;9.0;42.0;0.9963;3.6;0.55;12.22;5
6.6;0.735;0.02;7.9;0.122;68.0;124.0;0.9994;3.97;0.53;12.870000000000001;5
7.7;0.26;0.3;1.7;0.059;20.0;38.0;0.9949;3.79;0.47;14.040000000000001;6
12.2;0.48;0.54;2.6;0.085;19.0;64.0;1.0;3.6;0.61;13.65;6
11.4;0.6;0.49;2.7;0.085;10.0;41.0;0.9994;3.65;0.63;13.65;6
7.7;0.69;0.05;2.7;0.075;15.0;27.0;0.9974;3.76;0.61;11.83;5
8.7;0.31;0.46;1.4;0.059;11.0;25.0;0.9966;3.86;0.76;13.13;6
9.8;0.44;0.47;2.5;0.063;9.0;28.0;0.9981;3.74;0.65;14.040000000000001;6
12.0;0.39;0.66;3.0;0.093;12.0;30.0;0.9996;3.68;0.63;14.040000000000001;7
10.4;0.34;0.58;3.7;0.174;6.0;16.0;0.997;3.69;0.7;14.690000000000001;6
12.5;0.46;0.49;4.5;0.07;26.0;49.0;0.9981;3.55;0.57;12.48;4
9.0;0.43;0.34;2.5;0.08;26.0;86.0;0.9987;3.88;0.62;12.35;6
9.1;0.45;0.35;2.4;0.08;23.0;78.0;0.9987;3.88;0.62;12.35;5
7.1;0.735;0.16;1.9;0.1;15.0;77.0;0.9966;3.77;0.64;12.090000000000002;5
9.9;0.4;0.53;6.7;0.097;6.0;19.0;0.9986;3.77;0.82;15.209999999999999;7
8.8;0.52;0.34;2.7;0.087;24.0;122.0;0.9982;3.76;0.61;12.35;5
8.6;0.725;0.24;6.6;0.117;31.0;134.0;1.0014;3.82;1.07;12.090000000000002;5
10.6;0.48;0.64;2.2;0.111;6.0;20.0;0.997;3.76;0.66;15.209999999999999;6
7.0;0.58;0.12;1.9;0.091;34.0;124.0;0.9956;3.94;0.48;13.65;5
11.9;0.38;0.51;2.0;0.121;7.0;20.0;0.9996;3.74;0.76;13.520000000000001;6
6.8;0.77;0.0;1.8;0.066;34.0;52.0;0.9976;4.12;0.68;12.870000000000001;5
9.5;0.56;0.33;2.4;0.089;35.0;67.0;0.9972;3.78;0.73;15.340000000000002;7
6.6;0.84;0.03;2.3;0.059;32.0;48.0;0.9952;4.02;0.56;15.990000000000002;7
7.7;0.96;0.2;2.0;0.047;15.0;60.0;0.9955;3.86;0.44;14.170000000000002;5
10.5;0.24;0.47;2.1;0.066;6.0;24.0;0.9978;3.65;0.9;14.3;7
7.7;0.96;0.2;2.0;0.047;15.0;60.0;0.9955;3.86;0.44;14.170000000000002;5
6.6;0.84;0.03;2.3;0.059;32.0;48.0;0.9952;4.02;0.56;15.990000000000002;7
6.4;0.67;0.08;2.1;0.045;19.0;48.0;0.9949;3.99;0.49;14.82;6
9.5;0.78;0.22;1.9;0.077;6.0;32.0;0.9988;3.76;0.56;13.78;6
9.1;0.52;0.33;1.3;0.07;9.0;30.0;0.9978;3.74;0.6;12.090000000000002;5
12.8;0.84;0.63;2.4;0.088;13.0;35.0;0.9997;3.6;0.6;13.520000000000001;6
10.5;0.24;0.47;2.1;0.066;6.0;24.0;0.9978;3.65;0.9;14.3;7
7.8;0.55;0.35;2.2;0.074;21.0;66.0;0.9974;3.75;0.56;11.959999999999999;5
11.9;0.37;0.69;2.3;0.078;12.0;24.0;0.9958;3.5;0.65;16.64;6
12.3;0.39;0.63;2.3;0.091;6.0;18.0;1.0004;3.66;0.49;12.35;5
10.4;0.41;0.55;3.2;0.076;22.0;54.0;0.9996;3.65;0.89;12.870000000000001;6
12.3;0.39;0.63;2.3;0.091;6.0;18.0;1.0004;3.66;0.49;12.35;5
8.0;0.67;0.3;2.0;0.06;38.0;62.0;0.9958;3.76;0.56;13.26;6
11.1;0.45;0.73;3.2;0.066;6.0;22.0;0.9986;3.67;0.66;14.559999999999999;6
10.4;0.41;0.55;3.2;0.076;22.0;54.0;0.9996;3.65;0.89;12.870000000000001;6
7.0;0.62;0.18;1.5;0.062;7.0;50.0;0.9951;3.58;0.6;12.090000000000002;5
12.6;0.31;0.72;2.2;0.072;6.0;29.0;0.9987;3.38;0.82;12.740000000000002;8
11.9;0.4;0.65;2.15;0.068;7.0;27.0;0.9988;3.56;0.68;14.690000000000001;6
15.6;0.685;0.76;3.7;0.1;6.0;43.0;1.0032;3.45;0.68;14.559999999999999;7
10.0;0.44;0.49;2.7;0.077;11.0;19.0;0.9963;3.73;0.63;15.08;7
5.3;0.57;0.01;1.7;0.054;5.0;27.0;0.9934;4.07;0.84;16.25;7
9.5;0.735;0.1;2.1;0.079;6.0;31.0;0.9986;3.73;0.56;13.13;6
12.5;0.38;0.6;2.6;0.081;31.0;72.0;0.9996;3.6;0.73;13.65;5
9.3;0.48;0.29;2.1;0.127;6.0;16.0;0.9968;3.72;0.72;14.559999999999999;5
8.6;0.53;0.22;2.0;0.1;7.0;27.0;0.9967;3.7;0.56;13.26;6
11.9;0.39;0.69;2.8;0.095;17.0;35.0;0.9994;3.6;0.61;14.040000000000001;6
11.9;0.39;0.69;2.8;0.095;17.0;35.0;0.9994;3.6;0.61;14.040000000000001;6
8.4;0.37;0.53;1.8;0.413;9.0;26.0;0.9979;3.56;1.06;11.83;6
6.8;0.56;0.03;1.7;0.084;18.0;35.0;0.9968;3.94;0.63;13.0;6
10.4;0.33;0.63;2.8;0.084;5.0;22.0;0.9998;3.76;0.74;14.559999999999999;7
7.0;0.23;0.4;1.6;0.063;21.0;67.0;0.9952;4.0;0.63;14.43;5
11.3;0.62;0.67;5.2;0.086;6.0;19.0;0.9988;3.72;0.69;17.42;8
8.9;0.59;0.39;2.3;0.095;5.0;22.0;0.9986;3.87;0.58;13.39;5
9.2;0.63;0.21;2.7;0.097;29.0;65.0;0.9988;3.78;0.58;12.48;5
10.4;0.33;0.63;2.8;0.084;5.0;22.0;0.9998;3.76;0.74;14.559999999999999;7
11.6;0.58;0.66;2.2;0.074;10.0;47.0;1.0008;3.75;0.57;11.700000000000001;3
9.2;0.43;0.52;2.3;0.083;14.0;23.0;0.9976;3.85;0.61;14.690000000000001;6
8.3;0.615;0.22;2.6;0.087;6.0;19.0;0.9982;3.76;0.61;12.090000000000002;5
11.0;0.26;0.68;2.55;0.085;10.0;25.0;0.997;3.68;0.61;15.340000000000002;5
8.1;0.66;0.7;2.2;0.098;25.0;129.0;0.9972;3.58;0.53;11.700000000000001;5
11.5;0.315;0.54;2.1;0.084;5.0;15.0;0.9987;3.48;0.7;11.959999999999999;6
10.0;0.29;0.4;2.9;0.098;10.0;26.0;1.0006;3.98;0.91;12.61;5
10.3;0.5;0.42;2.0;0.069;21.0;51.0;0.9982;3.66;0.72;14.950000000000001;6
8.8;0.46;0.45;2.6;0.065;7.0;18.0;0.9947;3.82;0.79;18.2;6
11.4;0.36;0.69;2.1;0.09;6.0;21.0;1.0;3.67;0.62;11.959999999999999;6
8.7;0.82;0.02;1.2;0.07;36.0;48.0;0.9952;3.7;0.58;12.740000000000002;5
13.0;0.32;0.65;2.6;0.093;15.0;47.0;0.9996;3.55;0.61;13.78;5
9.6;0.54;0.42;2.4;0.081;25.0;52.0;0.997;3.7;0.71;14.82;6
12.5;0.37;0.55;2.6;0.083;25.0;68.0;0.9995;3.65;0.82;13.520000000000001;6
9.9;0.35;0.55;2.1;0.062;5.0;14.0;0.9971;3.76;0.79;13.78;5
10.5;0.28;0.51;1.7;0.08;10.0;24.0;0.9982;3.7;0.89;12.22;6
9.6;0.68;0.24;2.2;0.087;5.0;28.0;0.9988;3.64;0.6;13.26;5
9.3;0.27;0.41;2.0;0.091;6.0;16.0;0.998;3.78;0.7;12.61;5
10.4;0.24;0.49;1.8;0.075;6.0;20.0;0.9977;3.68;1.06;14.3;6
9.6;0.68;0.24;2.2;0.087;5.0;28.0;0.9988;3.64;0.6;13.26;5
9.4;0.685;0.11;2.7;0.077;6.0;31.0;0.9984;3.69;0.7;13.13;6
10.6;0.28;0.39;15.5;0.069;6.0;23.0;1.0026;3.62;0.66;11.959999999999999;5
9.4;0.3;0.56;2.8;0.08;6.0;17.0;0.9964;3.65;0.92;15.209999999999999;8
10.6;0.36;0.59;2.2;0.152;6.0;18.0;0.9986;3.54;1.05;12.22;5
10.6;0.36;0.6;2.2;0.152;7.0;18.0;0.9986;3.54;1.06;12.22;5
10.6;0.44;0.68;4.1;0.114;6.0;24.0;0.997;3.56;0.66;17.42;6
10.2;0.67;0.39;1.9;0.054;6.0;17.0;0.9976;3.67;0.47;13.0;5
10.2;0.67;0.39;1.9;0.054;6.0;17.0;0.9976;3.67;0.47;13.0;5
10.2;0.645;0.36;1.8;0.053;5.0;14.0;0.9982;3.67;0.42;13.0;6
11.6;0.32;0.55;2.8;0.081;35.0;67.0;1.0002;3.82;0.92;14.040000000000001;7
9.3;0.39;0.4;2.6;0.073;10.0;26.0;0.9984;3.84;0.75;13.26;6
9.3;0.775;0.27;2.8;0.078;24.0;56.0;0.9984;3.81;0.67;13.78;6
9.2;0.41;0.5;2.5;0.055;12.0;25.0;0.9952;3.84;0.79;17.290000000000003;7
8.9;0.4;0.51;2.6;0.052;13.0;27.0;0.995;3.82;0.9;17.42;7
8.7;0.69;0.31;3.0;0.086;23.0;81.0;1.0002;3.98;0.74;15.08;6
6.5;0.39;0.23;8.3;0.051;28.0;91.0;0.9952;3.94;0.55;15.73;6
10.7;0.35;0.53;2.6;0.07;5.0;16.0;0.9972;3.65;0.65;14.3;8
7.8;0.52;0.25;1.9;0.081;14.0;38.0;0.9984;3.93;0.65;11.700000000000001;6
7.2;0.34;0.32;2.5;0.09;43.0;113.0;0.9966;3.82;0.79;14.43;5
10.7;0.35;0.53;2.6;0.07;5.0;16.0;0.9972;3.65;0.65;14.3;8
8.7;0.69;0.31;3.0;0.086;23.0;81.0;1.0002;3.98;0.74;15.08;6
7.8;0.52;0.25;1.9;0.081;14.0;38.0;0.9984;3.93;0.65;11.700000000000001;6
10.4;0.44;0.73;6.55;0.074;38.0;76.0;0.999;3.67;0.85;15.600000000000001;7
10.4;0.44;0.73;6.55;0.074;38.0;76.0;0.999;3.67;0.85;15.600000000000001;7
10.5;0.26;0.47;1.9;0.078;6.0;24.0;0.9976;3.68;1.04;14.170000000000002;7
10.5;0.24;0.42;1.8;0.077;6.0;22.0;0.9976;3.71;1.05;14.040000000000001;7
10.2;0.49;0.63;2.9;0.072;10.0;26.0;0.9968;3.66;0.78;16.25;7
10.4;0.24;0.46;1.8;0.075;6.0;21.0;0.9976;3.75;1.02;14.040000000000001;7
11.2;0.67;0.55;2.3;0.084;6.0;13.0;1.0;3.67;0.71;12.35;6
10.0;0.59;0.31;2.2;0.09;26.0;62.0;0.9994;3.68;0.63;13.26;6
13.3;0.29;0.75;2.8;0.084;23.0;43.0;0.9986;3.54;0.68;14.82;7
12.4;0.42;0.49;4.6;0.073;19.0;43.0;0.9978;3.52;0.61;12.35;5
10.0;0.59;0.31;2.2;0.09;26.0;62.0;0.9994;3.68;0.63;13.26;6
10.7;0.4;0.48;2.1;0.125;15.0;49.0;0.998;3.53;0.81;12.61;6
10.5;0.51;0.64;2.4;0.107;6.0;15.0;0.9973;3.59;0.66;15.340000000000002;7
10.5;0.51;0.64;2.4;0.107;6.0;15.0;0.9973;3.59;0.66;15.340000000000002;7
8.5;0.655;0.49;6.1;0.122;34.0;151.0;1.001;3.81;1.14;12.090000000000002;5
12.5;0.6;0.49;4.3;0.1;5.0;14.0;1.001;3.75;0.74;15.47;6
10.4;0.61;0.49;2.1;0.2;5.0;16.0;0.9994;3.66;0.63;10.920000000000002;3
10.9;0.21;0.49;2.8;0.088;11.0;32.0;0.9972;3.72;0.68;15.209999999999999;6
7.3;0.365;0.49;2.5;0.088;39.0;106.0;0.9966;3.86;0.78;14.3;5
9.8;0.25;0.49;2.7;0.088;15.0;33.0;0.9982;3.92;0.9;13.0;6
7.6;0.41;0.49;2.0;0.088;16.0;43.0;0.998;3.98;0.64;11.83;5
8.2;0.39;0.49;2.3;0.099;47.0;133.0;0.9979;3.88;0.99;12.740000000000002;5
9.3;0.4;0.49;2.5;0.085;38.0;142.0;0.9978;3.72;0.55;12.22;5
9.2;0.43;0.49;2.4;0.086;23.0;116.0;0.9976;3.73;0.64;12.35;5
10.4;0.64;0.24;2.8;0.105;29.0;53.0;0.9998;3.74;0.67;12.870000000000001;5
7.3;0.365;0.49;2.5;0.088;39.0;106.0;0.9966;3.86;0.78;14.3;5
7.0;0.38;0.49;2.5;0.097;33.0;85.0;0.9962;3.89;0.77;14.82;6
8.2;0.42;0.49;2.6;0.084;32.0;55.0;0.9988;3.84;0.75;11.309999999999999;6
9.9;0.63;0.24;2.4;0.077;6.0;33.0;0.9974;3.59;0.57;12.22;5
9.1;0.22;0.24;2.1;0.078;1.0;28.0;0.999;3.91;0.87;13.39;6
11.9;0.38;0.49;2.7;0.098;12.0;42.0;1.0004;3.66;0.61;13.39;5
11.9;0.38;0.49;2.7;0.098;12.0;42.0;1.0004;3.66;0.61;13.39;5
10.3;0.27;0.24;2.1;0.072;15.0;33.0;0.9956;3.72;0.66;16.64;6
10.0;0.48;0.24;2.7;0.102;13.0;32.0;1.0;3.78;0.56;13.0;6
9.1;0.22;0.24;2.1;0.078;1.0;28.0;0.999;3.91;0.87;13.39;6
9.9;0.63;0.24;2.4;0.077;6.0;33.0;0.9974;3.59;0.57;12.22;5
8.1;0.825;0.24;2.1;0.084;5.0;13.0;0.9972;3.87;0.77;13.91;6
12.9;0.35;0.49;5.8;0.066;5.0;35.0;1.0014;3.7;0.66;15.600000000000001;7
11.2;0.5;0.74;5.15;0.1;5.0;17.0;0.9996;3.72;0.62;14.559999999999999;5
9.2;0.59;0.24;3.3;0.101;20.0;47.0;0.9988;3.76;0.67;12.48;5
9.5;0.46;0.49;6.3;0.064;5.0;17.0;0.9988;3.71;0.73;14.3;6
9.3;0.715;0.24;2.1;0.07;5.0;20.0;0.9966;3.62;0.59;12.870000000000001;5
11.2;0.66;0.24;2.5;0.085;16.0;53.0;0.9993;3.56;0.72;14.3;6
14.3;0.31;0.74;1.8;0.075;6.0;15.0;1.0008;3.36;0.79;10.920000000000002;6
9.1;0.47;0.49;2.6;0.094;38.0;106.0;0.9982;3.58;0.59;11.83;5
7.5;0.55;0.24;2.0;0.078;10.0;28.0;0.9983;3.95;0.78;12.35;6
10.6;0.31;0.49;2.5;0.067;6.0;21.0;0.9987;3.76;0.86;13.91;6
12.4;0.35;0.49;2.6;0.079;27.0;69.0;0.9994;3.62;0.75;13.520000000000001;6
9.0;0.53;0.49;1.9;0.171;6.0;25.0;0.9975;3.77;0.61;12.22;6
6.8;0.51;0.01;2.1;0.074;9.0;25.0;0.9958;3.83;0.56;12.35;6
9.4;0.43;0.24;2.8;0.092;14.0;45.0;0.998;3.69;0.73;13.0;6
9.5;0.46;0.24;2.7;0.092;14.0;44.0;0.998;3.62;0.74;13.0;6
5.0;1.04;0.24;1.6;0.05;32.0;96.0;0.9934;4.24;0.62;14.950000000000001;5
15.5;0.645;0.49;4.2;0.095;10.0;23.0;1.00315;3.42;0.74;14.43;5
15.5;0.645;0.49;4.2;0.095;10.0;23.0;1.00315;3.42;0.74;14.43;5
10.9;0.53;0.49;4.6;0.118;10.0;17.0;1.0002;3.57;0.56;15.209999999999999;6
15.6;0.645;0.49;4.2;0.095;10.0;23.0;1.00315;3.42;0.74;14.43;5
10.9;0.53;0.49;4.6;0.118;10.0;17.0;1.0002;3.57;0.56;15.209999999999999;6
13.0;0.47;0.49;4.3;0.085;6.0;47.0;1.0021;3.8;0.68;16.509999999999998;6
12.7;0.6;0.49;2.8;0.075;5.0;19.0;0.9994;3.64;0.57;14.82;5
9.0;0.44;0.49;2.4;0.078;26.0;121.0;0.9978;3.73;0.58;11.959999999999999;5
9.0;0.54;0.49;2.9;0.094;41.0;110.0;0.9982;3.58;0.61;11.959999999999999;5
7.6;0.29;0.49;2.7;0.092;25.0;60.0;0.9971;3.81;0.61;13.13;6
13.0;0.47;0.49;4.3;0.085;6.0;47.0;1.0021;3.8;0.68;16.509999999999998;6
12.7;0.6;0.49;2.8;0.075;5.0;19.0;0.9994;3.64;0.57;14.82;5
8.7;0.7;0.24;2.5;0.226;5.0;15.0;0.9991;3.82;0.6;11.700000000000001;6
8.7;0.7;0.24;2.5;0.226;5.0;15.0;0.9991;3.82;0.6;11.700000000000001;6
9.8;0.5;0.49;2.6;0.25;5.0;20.0;0.999;3.81;0.79;13.91;6
6.2;0.36;0.24;2.2;0.095;19.0;42.0;0.9946;4.07;0.57;15.209999999999999;6
11.5;0.35;0.49;3.3;0.07;10.0;37.0;1.0003;3.82;0.91;14.3;6
